S No,Name of Disease,Fruit/Crop/Plant,Reason,Symptoms,Consequences,Duration,Location,Severity of Diease,Natural Remedies,Insectisides/Pesticides,Precautions,Reference
10,Leaf_blight_(Isariopsis_Leaf_Spot),,,,,,,,,,,
11,Haunglongbing_(Citrus_greening),,,,,,,,,,,
12,Bacterial_spot,,,,,,,,,,,
13,,,,,,,,,,,,
14,Bacterial Spot,"Pepper Bell, Tomato","Bacterium, Disease emergence favored by warm, wet conditions; the pathogen can be enter a field on seed and transplants and can be spread within a field by wind-driven rain, clipping plants and aerosols.",Water-soaked lesions that dry out and turn brown forming on the underside of the leaves; raised brown cankers on stems; cracked brown lesions on fruit.,Can damage the vegetable entirely,,,Very serious as can cause total crop loss.,,"Chemical elements labeled for this purpose: Copper-based compounds, Mancozeb + Copper Hydroxide, Streptomycin Sulfate, Bacteriophage, Acibenzolar-S-Methyl. ","Use disease free planting material; remove and destroy all crop debris after harvest, or plow material deeply under soil.","https://plantvillage.psu.edu/topics/pepper-bell/infos/diseases_and_pests_description_uses_propagation     https://content.ces.ncsu.edu/bacterial-spot-of-pepper-and-tomato#:~:text=Bacterial%20spot%20is%20caused%20by,scalded%20fruit%2C%20and%20yield%20loss."
15,Early Blight,"Potato, Tomato","Fungal, Lower leaves become infected when in contact with contaminated soil, either through direct contact or through rain-splashed soil.","Initially, small dark spots form on older foliage near the ground.
Leaf spots are round, brown and can grow up to half inch in diameter.
Larger spots have target-like concentric rings. ...
Severely infected leaves turn brown and fall off, or dead, dried leaves may cling to the stem.",,,,Very serious as can cause total crop loss.,,"Use of fungicides like Penthiopyrad, Boscalid, Pyraclostrobin, Fenamidone, Azoxystrobrin, Mancozeb","Use pathogen-free seed, or collect seed only from disease-free plants, Rotate out of tomatoes and related crops for at least two years., Avoid working in plants when they are wet from rain, irrigation, or dew., Fertilize properly to maintain vigorous plant growth. Particularly, do not over-fertilize with potassium and maintain adequate levels of both nitrogen and phosphorus., Control susceptible weeds such as black nightshade and hairy nightshade, and volunteer tomato plants throughout the rotation",
16,Late Blight,"Potato, Tomato","Fungal, ","Late blight of potato is identified by blackish/brown lesions on leaves and stems (Figures 3,4) that may be small at first and appear water-soaked or have chlorotic borders but expand rapidly and the entire leaf becomes become necrotic.",,,,Very serious. disease spreads quickly in fields and can result in total crop failure if untreated.,,"Fungicides like Copper Based, Organocide Plant Doctor, SERENADE Garden, Monterey",Rotations of two to three years to non-host crops are recommended to control late blight. Good drainage and good air movement will help reduce moisture levels in the crop canopy.  Only certified seed tubers should be planted. ,
17,Powdery Mildew,"Squash, Pumpkins, Cucumbers, Melons","Fungal, Powdery mildew spores typically drift into your garden with the wind, but if you’ve had powdery mildew occur in the past, new outbreaks may also come from dormant spores in old vegetative material or weeds nearby.","Plants infected with powdery mildew look as if they have been dusted with flour.
Powdery mildew usually starts off as circular, powdery white spots, which can appear on leaves, stems, and sometimes fruit.
Powdery mildew usually covers the upper part of the leaves, but may grow on the undersides as well.
Young foliage is most susceptible to damage. Leaves turn yellow and dry out. The white spots of powdery mildew will spread to cover most of the leaves or affected areas.",,,,Moderate. Affected plants can be removed & destroyed.,"spraying your plants with a bicarbonate solution:
Mix 1 teaspoon baking soda in 1 quart of water. Spray plants thoroughly, as the solution will only kill fungus that it comes into contact with.","Consider spraying infected plants with protectant (preventative) fungicides. Effective organic fungicides for treating powdery mildew include sulfur, lime-sulfur, neem oil, and potassium bicarbonate. These are most effective when used prior to infection or when you first see signs of the disease.","Choose plants for your garden that are resistant to powdery mildew. Many mildew-resistant varieties of cucurbits (melons, cucumbers, squash, etc.) have been developed and can be bought from major seed suppliers.
Plant in sunnier spots, as powdery mildew tends to develop more often in shady areas.
Selectively prune overcrowded areas to increase air circulation around your plants; this helps to reduce relative humidity.
Watering from overhead can help to wash spores off leaves.",
18,Leaf Scorch,Strawberry. (Similar to Bacterial Spot),"Fungal, Disease emergence favored by wet foliage for extended periods of time.","Leaf scorch symptoms are very similar to the early stages of common (Mycosphaerella) leaf spot, with irregular dark purple spots being scattered over the upper leaf surface. Irregular dark purple or brown blotches on upper leaf surface which may colaesce to produce large purplish brown patches; tissue between blotches may turn purple or red; lesions may also develop on flowers and fruits; affected petals may wither and drop from plant; lesions may girdle peduncles causing death of fruit.",,,,"Less, This disease is very common and doesn't much affect the actual fruit.  In severe infestations, flowers and fruit may die. ",,"	CHLOROTHALONIL,	MYCLOBUTANIL","proper garden sanitation is key, removal of infected garden debris from the strawberry patch, as well as the frequent establishment of new strawberry transplants.",
19,Leaf Mold,Tomato,"Fungal, Pathogenic for Tomato, The initial source of the disease is often infected seed, but it can be spread by a variety of factors, including rain, wind, on tools, on clothing, or via insect activity. High humidity and warm temperatures encourages the spread of the disease.","Symptoms mostly develop on leaves, appearing first on older leaves. Color of leaf mold spots on upper leaf surfaces progresses from pale green to yellow. Spots are not distinct as they lack a clearly defined border, in contrast with most other foliar diseases. Thus affected leaves may look like they have a general yellowing due to a nutrient deficiency.","Foilage infection overall that causes them to wither and die. Ultimately, may affect yiled but no direct affect on fruit.",,,,"An apple-cider and vinegar mix is believed to treat the mold effectively. Corn and garlic spray can also be used to prevent fungi outbreaks before they even occur. There is also a milk-based spray that is touted as an all-natural, helpful cure for leaf mold.  let the plants air out and dry. If they are being cultivated in a greenhouse, expose them to dry air conditions, because the humidity that the fungus needs to survive and thrive is dried up in the open air","Active ingredients for Lead Mold Control fungicide: Difenoconazole and Cyprodinil, Difenoconazole and Mandipropamid,  Cymoxanil and Famoxadone, copper, mancozeb etc. ","try to keep the leaves dry when watering the plants, water in the early morning hours, that way the plant has plenty of time to dry before the sun comes out, which will keep the humidity around the leaves low. ",
20,Septoria Leaf Spot,Tomato,"Fungal, The fungus is spread by wind and rain, and flourishes in temperatures of 60 to 80 F. (16-27 C.)","Septoria leaf spot usually appears on the lower leaves after the first fruit sets. Spots are circular, about 1/16 to 1/4 inch in diameter with dark brown margins and tan to gray centers with small black fruiting structures. Characteristically, there are many spots per leaf. This disease spreads upwards from oldest to youngest growth. If leaf lesions are numerous, the leaves turn slightly yellow, then brown, and then wither. Fruit infection is rare.",Affects foilage mostly and not the fruit.,,,Low as generally only leave is impacted and fruit is intact.,,"oranic-copper fungicide, biological - Bacillus Subtilis, chemical - Chlorothalonil-based like mancozeb"," remove all fallen plant debris, Keep weeds in check, Water the soil, not the plants, rotate crops, proper airflow",
21,Spider Mites,Tomato,Transfers through spider mite organism which are not insects but of spider class.,"Plant turning out yellow in patches and super-fine webs all over the plant, underside of leaves appear dusty",Rapid webbing may occur in foilage and other parts as they are fast breeders.,,,Low. No direct effect on fruit.,Use of neem oil as miticides,"Miticides suffice to control this like Mite-X, SNS-217,  Abamectin, Bifenazate, Spiromesifen","Keep plant healthy, remove the affected plant, ",
22,Target Spot,"Tomato, Cucumber, Pawpaw",Fungal,"The fungus infects all parts of plant. Infected leaves shows small, pinpoint, water soaked spots initially. As the disease progress the spots enlarge to become necrotic lesions with conspicuous concentric circles, dark margins and light brown centers. Whereas the fruits exhibit brown, slightly sunken flecks in the beginning but later the lesions become large pitted appearance.","The fungus causes plants to lose their leaves; it is a major disease. If infection occurs before the fruit has developed, yields are low. ",,,Moderate,," Fungicides like chlorothalonil, copper oxychloride or mancozeb.",Remove the plant debris and burn them. Avoid over application of nitrogen fertilizer. If the disease is severe spray suitable fungicides.,
23,Yellow Leaf Curl Virus,Tomato,"DNA Virus, Transmitted by insect","Leaves of infected plants are small and curl upward; and show strong crumpling and interveinal and marginal yellowing. The internodes of infected plants become shortened and, together with the stunted growth, plants often take on a bushy appearance, which is sometimes referred to as 'bonsai' or broccoli'-like growth. Flowers formed on infected plants commonly do not develop and fall off (abscise). Fruit production is dramatically reduced, particularly when plants are infected at an early age, and it is not uncommon for losses of 100% to be experienced in fields with heavily infected plants.",Can completely damage the fruit and affect overall yield very much,,,Very serious threat,symptomatic plants should be carefully covered by a clear or black plastic bag and tied at the stem at soil line. Cut off the plant below the bag and allow bag with plant and whiteflies to desiccate to death on the soil surface for 1-2 days prior to placing the plant in the trash.,"spray with azadirachtin (Neem), pyrethrin or insecticidal soap.","Remove and destroy old crop residue and volunteers on a regional basis.Select TYLCV-resistant varieties.Plant immediately after any tomato-free period or true winter season.
Avoid planting new fields near older fields (especially those with TYLCV-infected plants).
Manage WHITEFLIES.",
24,Mosaic Virus,"oses, beans, tobacco, tomatoes, potatoes, cucumbers and peppers ","Viral Disease, Seed can be infected and pass the virus to the plant but the disease is usually introduced and spread primarily through human activity.","The disease is characterized by leaves that are mottled with yellow, white, and light or dark green spots and streaks (in other words, a “mosaic” of these colors).","Loss of yield, affect soild, seeds and fruit",,,Very serious as no fungicides or chemical fertilizers work for this.,,No insecticides and pesticides help to get rid off of this once plants are completely affected.,"Fungicides will NOT treat this viral disease.
Plant resistant varieties when available or purchase transplants from a reputable source.
Do NOT save seed from infected crops.
Spot treat with least-toxic, natural pest control products, such as Safer Soap, Bon-Neem and diatomaceous earth, to reduce the number of disease carrying insects.
Harvest-Guard® row cover will help keep insect pests off vulnerable crops/ transplants and should be installed until bloom.",
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
